genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Opera,Giuseppe Verdi,"Stiffelio, Act III: Ei fugge! … Lina, pensai che un angelo … Oh gioia inesprimbile",7EsKYeHtTc4H4xWiTqSVZA,21,0.986,0.313,490867,0.231,0.000431,C#,0.0964,-14.287,Major,0.0547,86.001,4-Apr,0.0886
Opera,Giacomo Puccini,Madama Butterfly / Act 1: ... E soffitto e pareti,7MfmRBvqaW0I6UTxXnad8p,18,0.972,0.36,176797,0.201,0.028,D#,0.133,-19.794,Major,0.0581,131.798,4-Apr,0.369
Opera,Giacomo Puccini,"Turandot / Act 2: Gloria, gloria, o vincitore",7pBo1GDhIysyUMFXiDVoON,10,0.935,0.168,266184,0.47,0.0204,C,0.363,-8.415,Major,0.0383,75.126,4-Mar,0.0696
Opera,Giuseppe Verdi,"Rigoletto, Act IV: Venti scudi hai tu detto?",02mvYZX5aKNzdqEo6jF20m,17,0.961,0.25,288573,0.00605,0,D,0.12,-33.44,Major,0.048,76.493,4-Apr,0.038
Opera,Giuseppe Verdi,"Don Carlo / Act 4: ""Ella giammai m'amò!""",03TW0jwGMGhUabAjOpB1T9,19,0.985,0.142,629760,0.058,0.146,D,0.0969,-23.625,Major,0.0493,172.935,4-Apr,0.0382
Opera,Giuseppe Verdi,D'amor sull'ali rosee,0G75cCcf6vBSnMFFkVW9pq,20,0.99,0.211,334720,0.064,0.0196,G#,0.073,-20.666,Major,0.0534,81.403,4-Mar,0.04
Opera,Georges Bizet,Waxman : Carmen Fantasie,10gPtjlpTS9Uq6EUQuGljt,13,0.98,0.341,646813,0.16,0.0146,D,0.113,-19.753,Major,0.0575,171.444,4-Jan,0.3
Opera,Giuseppe Verdi,4 Pezzi sacri: No. 4. Te Deum,1iayQ9XmNJL2F0S0zjdNST,19,0.975,0.109,963440,0.018,0.791,F#,0.0712,-26.778,Major,0.0399,82.178,4-Apr,0.0359
Opera,Vincenzo Bellini,I puritani: Ah! per sempre io ti perdei - Bel sogno beato (Live),297JkKwa74ayxAz38hXMeb,20,0.951,0.169,417987,0.178,0.185,C,0.665,-21.589,Minor,0.054,65.995,4-Apr,0.112
Opera,Léo Delibes,"Lakmé, Act I, No. 2: Viens, Mallika... Sous le dôme épais (""Flower Duet"")",3Eu8Qqq7vv0UsNWf0mWTmZ,16,0.968,0.25,373480,0.12,4.92E-05,B,0.0865,-21.205,Major,0.0654,73.433,4-Apr,0.0384
Opera,Richard Wagner,"Tristan und Isolde, WWV. 90, Act III: Mild und leise (Liebestod)",3QwZLLBxuUlDgRhNqEQW9z,20,0.978,0.18,521640,0.167,0.235,B,0.105,-19.212,Major,0.043,81.348,4-Apr,0.032
Opera,Georges Bizet,Carmen: Act I: 'Carmen! sur tes pas nous nous pressons tous!,3W2KxQd1u8v1UOCsWn1qyV,17,0.987,0.154,103827,0.0948,0.505,A,0.0701,-19.569,Minor,0.0417,65.363,4-Mar,0.0392
Opera,Giuseppe Verdi,"Falstaff, Act I Scene 2: ""Alice. Meg. Nannetta""",3ZuEvBlO6F8iArGPdnkD8x,12,0.968,0.518,74107,0.0834,0,C,0.244,-28.472,Major,0.0724,110.867,4-Apr,0.618
Opera,Giacomo Puccini,Turandot / Act 1: Perché tarda la luna? (Coro),46GsTkeUgN1nYhv4NPBx6F,19,0.953,0.0685,247757,0.0864,0.877,A,0.247,-20.449,Major,0.0381,75.841,4-Jan,0.0388
